idProduct,CarBrand,CarModel,ModelYear,Price,AuthorizedService_idAuthorizedService
1,Gonzalez and Sons,Sedan,2017,91837.14,178
2,"French, Huff and Hicks",Coupe,2019,47729.07,91
3,Vaughn-Coffey,Sedan,2008,95898.08,148
4,Hensley-Ho,Mrs,2007,23651.97,165
5,Patrick Inc,Hatchback,2018,51543.18,50
6,"French, Huff and Hicks",Coupe,2002,70087.45,75
7,Mccullough-Moore,SUV,2024,54591.13,8
8,Wood LLC,Convertible,2007,85270.62,87
9,Patrick Inc,good,2004,73532.45,93
10,Patrick Inc,SUV,2000,61537.73,176
11,Jackson-Williams,Convertible,2023,24893.37,62
12,Jackson-Williams,SUV,2000,78564.67,179
13,Mccullough-Moore,SUV,2001,66148.06,216
14,King LLC,Convertible,2020,83236.77,46
15,Johnson-Fletcher,affect,2022,60954.53,79
16,Jackson-Williams,Coupe,2010,78213.73,41
17,Johnson-Fletcher,SUV,2016,98348.5,78
18,King LLC,SUV,2002,83694.99,147
19,Jackson-Williams,Coupe,2004,73694.57,166
20,"French, Huff and Hicks",Coupe,2016,37388.43,7
21,King LLC,Sedan,2003,53021.76,202
22,King LLC,Sedan,2009,91960.68,138
23,Wood LLC,Sedan,2020,39290.72,67
24,Gonzalez and Sons,Hatchback,2008,97562.81,172
25,Patrick Inc,SUV,2013,41781.0,144
26,"French, Huff and Hicks",Hatchback,2024,77156.1,90
27,Gonzalez and Sons,Convertible,2017,82399.65,17
28,Mccullough-Moore,Coupe,2009,36215.54,166
29,Wood LLC,Convertible,2011,65640.98,149
30,"French, Huff and Hicks",SUV,2018,49628.21,58
31,"French, Huff and Hicks",SUV,2019,87688.92,156
32,Gonzalez and Sons,Sedan,2017,23411.89,20
33,Wood LLC,Coupe,2016,20074.24,242
34,Gonzalez and Sons,Sedan,2015,84769.84,186
35,Hensley-Ho,Sedan,2013,97747.23,237
36,Jackson-Williams,Convertible,2010,34703.99,61
37,Vaughn-Coffey,Coupe,2006,57535.09,238
38,Mccullough-Moore,SUV,2012,72837.31,49
39,Gonzalez and Sons,Hatchback,2022,79851.07,196
40,Vaughn-Coffey,Hatchback,2013,46021.54,116
41,Johnson-Fletcher,SUV,2005,94435.81,103
42,Vaughn-Coffey,Sedan,2018,79310.83,207
43,Patrick Inc,SUV,2000,35678.01,219
44,Vaughn-Coffey,Coupe,2022,52465.06,120
45,Johnson-Fletcher,Convertible,2019,45829.79,228
46,Vaughn-Coffey,Hatchback,2012,71753.78,200
47,Gonzalez and Sons,Coupe,2000,68933.86,142
48,Patrick Inc,Sedan,2001,85987.43,194
49,King LLC,Sedan,2022,33622.2,48
50,Jackson-Williams,Sedan,2016,67107.38,216
51,Johnson-Fletcher,Sedan,2003,44164.97,26
52,Hensley-Ho,SUV,2017,54591.9,123
53,Patrick Inc,Coupe,2023,47259.02,206
54,Vaughn-Coffey,Hatchback,2005,20892.55,45
55,"French, Huff and Hicks",Coupe,2022,98969.74,109
56,Gonzalez and Sons,Sedan,2013,21943.09,213
57,Vaughn-Coffey,Hatchback,2009,24462.1,45
58,Mccullough-Moore,Convertible,2012,59412.93,204
59,King LLC,Coupe,2002,83209.0,110
60,Hensley-Ho,Convertible,2009,28349.77,121
61,Wood LLC,Sedan,2020,26643.03,119
62,Gonzalez and Sons,Hatchback,2010,35925.52,130
63,Wood LLC,SUV,2000,22589.54,197
64,Johnson-Fletcher,Hatchback,2010,65130.15,135
65,Vaughn-Coffey,Convertible,2006,69283.03,105
66,Mccullough-Moore,Sedan,2018,45115.3,211
67,Patrick Inc,SUV,2009,62663.61,187
68,Hensley-Ho,Convertible,2005,55211.14,13
69,Johnson-Fletcher,Hatchback,2004,95609.24,211
70,Patrick Inc,Coupe,2024,53736.38,30
71,Gonzalez and Sons,Sedan,2020,94142.78,122
72,Gonzalez and Sons,Hatchback,2004,20755.05,10
73,Mccullough-Moore,Hatchback,2019,72990.08,52
74,Gonzalez and Sons,Hatchback,2020,67376.55,109
75,Patrick Inc,Hatchback,2013,97906.16,108
76,Patrick Inc,Hatchback,2001,93586.05,229
77,"French, Huff and Hicks",Sedan,2013,79328.13,23
78,Johnson-Fletcher,SUV,2010,61758.75,112
79,Wood LLC,Hatchback,2007,77063.48,140
80,Johnson-Fletcher,Convertible,2014,25553.83,243
81,King LLC,Convertible,2016,23752.29,233
